PartijNummer,Partijen,Avelgem,Spiere-Helkijn,Totalen
15,CD&V,1834,1732,4399,7965
17,PVDA+,76,55,307,438
29,R.O.S.S.E.M.,19,12,42,73
31,ROEL,8,3,13,24
32,GENOEG,11,7,21,39
33,VCP,13,8,25,46
34,Piratenpartij,45,38,94,177
35,V.I.T.A.L.,7,3,10,20
,
PartijNummer,Partijen,Torhout,Totalen
2,Groen,918,918
3,Vlaams Belang,580,580
7,OpenVld,1201,1201
12,sp.a,2242,2242
13,N-VA,3645,3645
15,CD&V,5225,5225
17,PVDA+,200,200
29,R.O.S.S.E.M.,48,48
31,ROEL,38,38
32,GENOEG,18,18
33,VCP,32,32
34,Piratenpartij,107,107
35,V.I.T.A.L.,4,4
,Totalen14258,14258
,38025 - Kanton Veurne
,
PartijNummer,Partijen,Alveringem,de Panne,Koksijde,Veurne,Totalen
2,Groen,183,407,956,476,2022,
3,Vlaams Belang,159,329,493,280,1261,
7,OpenVld,416,1266,3273,886,5841,
12,sp.a,403,1616,2033,1856,5908,
13,N-VA,1124,1950,5892,2571,11537,
15,CD&V,933,1101,2958,1775,6767,
17,PVDA+,42,103,166,73,384,
29,R.O.S.S.E.M.,7,19,39,20,85,
31,ROEL,4,7,19,10,40,
32,GENOEG,16,30,58,19,123,
33,VCP,8,16,11,23,58,
34,Piratenpartij,33,45,104,54,236,
35,V.I.T.A.L.,4,8,8,5,25,
,Totalen3332,6897,16010,8048,34287,
,33041 - Kanton Vleteren
,
PartijNummer,Partijen,Vleteren,Totalen
2,Groen,131,131
3,Vlaams Belang,120,120
7,OpenVld,423,423
12,sp.a,218,218
13,N-VA,775,775
15,CD&V,695,695
17,PVDA+,15,15
29,R.O.S.S.E.M.,4,4
31,ROEL,2,2
32,GENOEG,4,4
33,VCP,9,9
34,Piratenpartij,23,23
35,V.I.T.A.L.,1,1
,Totalen2420,2420
,33029 - Kanton Wervik
,
PartijNummer,Partijen,Wervik,Totalen
2,Groen,690,690
3,Vlaams Belang,620,620
7,OpenVld,1515,1515
12,sp.a,2824,2824
13,N-VA,2853,2853
15,CD&V,2849,2849
17,PVDA+,254,254
29,R.O.S.S.E.M.,37,37
31,ROEL,22,22
32,GENOEG,27,27
33,VCP,18,18
34,Piratenpartij,122,122
35,V.I.T.A.L.,11,11
,Totalen11842,11842
,33037 - Kanton Zonnebeke
,
PartijNummer,Partijen,Zonnebeke,Totalen
2,Groen,377,377
3,Vlaams Belang,402,402
7,OpenVld,940,940
12,sp.a,1417,1417
13,N-VA,2415,2415
15,CD&V,2561,2561
17,PVDA+,97,97
29,R.O.S.S.E.M.,48,48
31,ROEL,14,14
32,GENOEG,13,13
33,VCP,10,10
34,Piratenpartij,58,58
35,V.I.T.A.L.,6,6
,Totalen8358,8358
,11002 - Kanton Antwerpen
,
PartijNummer,Partijen,Antwerpen,Zwijndrecht,Totalen
2,Groen,38589,1552,40141,
3,Vlaams Belang,20816,1173,21989,
7,OpenVld,22441,857,23298,
12,sp.a,44648,1617,46265,
13,N-VA,85959,4819,90778,
15,CD&V,31095,1947,33042,
17,PVDA+,21305,494,21799,
29,R.O.S.S.E.M.,529,39,568,
30,VCP,144,1,145,
32,ROEL,298,23,321,
33,MAMA,863,53,916,
34,Piratenpartij,1919,66,1985,
35,GENOEG,793,39,832,
,Totalen269399,12680,282079,
,13001 - Kanton Arendonk
,
PartijNummer,Partijen,Arendonk,Dessel,Ravels,Retie,Totalen
2,Groen,566,255,436,422,1679,
3,Vlaams Belang,595,395,498,396,1884,
7,OpenVld,573,346,558,654,2131,
12,sp.a,802,514,405,467,2188,
13,N-VA,3139,3156,2506,2576,11377,
15,CD&V,2076,1525,2574,2474,8649,
17,PVDA+,108,115,87,83,393,
29,R.O.S.S.E.M.,9,15,15,24,63,
30,VCP,7,2,4,8,21,
32,ROEL,12,5,10,11,38,
33,MAMA,18,13,10,17,58,
34,Piratenpartij,42,23,31,33,129,
35,GENOEG,20,13,28,15,76,
,Totalen7967,6377,7162,7180,28686,
,11005 - Kanton Boom
,
PartijNummer,Partijen,Boom,Hemiksem,Niel,Rumst,Schelle,Totalen
2,Groen,863,514,430,753,462,3022
3,Vlaams Belang,832,646,580,698,427,3183
7,OpenVld,813,585,1052,845,464,3759
